Category,,,Canoo WebTest,Concordion,Cucumber,JBehave,FitLibrary,Fitnesse,Fitness-Slim,GreenPepper,GUIdancer,TestWise,PyWinauto,Robot Framework,Sahi-Java,Selenium Web Testing Tool,SWAT,FEST,Trace Analyst,Twist,Watin,Watir,White
Role,Capability,Detailed description of capability or attribute,http://webtest.canoo.com,http://www.concordion.org,http://wiki.github.com/aslakhellesoy/cucumber,http://jbehave.org/,http://sourceforge.net/projects/fitlibrary/,http://fitness.org,,http://www.greenpeppersoftware.com,http://guidancer.com,http://www.testwisely.com,http://pywinauto.openqa.org/,http://robotframework.org,http://sahi.co.in,http://seleniumhq.org,http://ulti-swat.wikispaces.com,http://fest.easytesting.org/,http://www.traceanalyst.com,http://www.thoughtworks-studios.com/twist,http://watin.sourceforge.net/documentation.html,http://watir.com,http://white.codeplex.com
Documentation ,Goal,,Allow web application testing to be automated with scripts written in XML or Groovy,"Create a safety net for refactoring by separating the test intention (written in plain English) from the test implementation (written in Java), so the latter can change, as the system's design evolves, while the former catches regression bugs.Most other testing frameworks mix together the test intention with its implementation.",Write business scenarios in structured English.,Write user stories and acceptance criteria (scenarios) in plain-text files in any language.,"Detailed requirements in terms of business rules, objects and processes, test automation, table-based DSL",Web based version of Fit.,Smaller version of Fitness.,"Use Automated Functional Testing as an ""Executable Specification"" mechanism that optimize requirement communication between customers/users/field experts and the developers team.  All this in order to build the right software, the one needed.","Functional acceptance testing (black-box) throughthe GUI to test programs as the end user will see them.Removal of programming effort from acceptance testing.Use in agile processes (tests created in parallel with development).","TestWise IDE is a Next-Generation Functional Testing tool to help developers, testers to write maintainable automated tests effectively (Formerly known as iTest2).TestWise is built from ground up to support team collaboration in automated testing with  refactoring test elements, command completion, incremental syntax validation (based on the domain specific test language), keyboard navigation into the supporting framework code, and much more...",Gui Automation with Python,Robot Framework is a generic keyword-driven test automation framework for acceptance level testing and acceptance test-driven development (ATDD),Provide a Java interface to Sahi,Selenium tests web apps on any OS in any browser with any language., Simple Web Automation Toolkit: Build on Fitnesse to improve it,Functional test of Swing and JavaFX UIs. Intended users: developers and testers,Requirements Traceability & Project Progress Monitoring,Twist is a collaboration platform in which business users can express testing intent (similar to requirements) in simple english and technical users can render these english statements executable using the inbuilt power of the IDE and supported variety of languages. Through this Twist promotes the notion of software specifications also becoming executable tests. Twist supports multiple industry standard drivers that can be used to implement test intent., Web Application Testing In .Net: Automate tests with Internet Explorer and FireFox using .Net,Web Application Testing in Ruby: Automated testing that doesn't hurt,"Automate all windows applications except browser, if they support UIAutomation.Provide the driver to test and let the programming language of choice do the rest."
Role,Test Runner,The means of choosing and invoking the tests to be run,Runs via HTTP,JUnit (for the Java version of Concordion anyway),"Command line, Rake, IDE","Ant, Maven, JUnit, custom",Yes: FolderRunner + batch running + with FitNesse,Yes,Fitness,"From a Wiki (XWiki, Confluence), from JIRA or from the IDE (Eclipse & Visual Studio plugin).  Runner versions for Java, .Net and Ruby).  Using continuous integration with Maven, Nant, MS Build.","Yes: Tests can be started from a command line, which can be called by e.g. Ant or CI tools",Yes,,Yes,Java,Yes,No,"Any (JUnit, TestNG)",n/a,"Yes any Java Driver.  The 2.1 version comes bundled with Sahi, Selenium to test Web Applications, Frankenstien to drive Java Swing applications and SWTBot for Eclipse/SWT based applications",Use any test runner,,Any .net testing tool/any .NET language
Role,Reporting,How test results are reported,"XML, HTML, sophisticated",HTML written to a configurable location,"Console, HTML, XML, PDF, custom","Console, HTML, XML, text, ""stats"", custom","As annotated tables, like Fit",Yes,Fitness,"HTML in WIKI (Confluence, XWiki), JIRA or on disk (HTML)","In client itself (as summary table and full report tree).Also as HTML and XML reports.BIRT reports can be generated from results.",Yes,,Yes,JUnit reports for Java,Out of scope for an automation tool,No,From test runner,"Yes, HTML, XML, Excel",Interactive HTML reports stored in a configurable location,Test runner and through Logger class,,Depending on the tool
Role,Test Editor,How the tests are edited,any xml editor or ide,HTML / text editor,"Any text editor, RubyMine, NetBeans",Any text editor,"FitNesse, Excel, html editor",Yes,Fitness,"Confluence, XWiki","In ""Test Case Editor"": tests can be added (referenced), removed and altered (e.g. order, names, components, data)",Yes,,Yes,Java IDE,"Selenium IDE. For RC:Vim, Emacs, etc.",No,"Java IDE, text editor",n/a,"Through an inbuilt editor called ""Scenario Editor"" which support refactoring and reuse",.Net IDE,SciTE,.net language IDE
Role,Repository,How the tests are stored,No,With source code,File system/SCM,"Anywhere - stories are loaded via StoryLoader implementations - in classpath, from local or remote URL.",FitNesse pages or files,Yes,Fitness,"Confluence, XWiki, local disk","Tests are stored in a database. Projects can be exported as XML files for version control",No,,Files that can be stored to version control.,No,"Git, Svn, CVS, Perforce",No,No,n/a,Tests can be stored in any SCM,No,,source control
Role,Database,How tests can load or query a database used by the SUT,No,Within Java fixture code,"Using ORM (ActiveRecord, Hibernate)",Steps classes can use any Java framework. DbUnit is commonly used.,Yes,No,No,No,,Embeded database to store history test results,,Yes http://code.google.com/p/robotframework-dblibrary/(),No,And database,No,No,n/a,Through a JDBC driver,No,,n/a
Role,SUT Interface Driver,The means of interacting with the System Under Tests,HtmlUnit,Indirectly through a Java fixture,Anything,Anything you can invoke from a Java class.,"Yes, optionally with an adapter",Yes,Yes,Multiple SUT configuration for a test suite.  Configuration managed within the WIKI ,Yes,Watir,,Driver independent,,Yes,Yes,Yes,Yes,"Interact using any Java Driver.  The 2.1 version comes bundled with Sahi, Selenium to test Web Applications, Frankenstien to drive Java Swing applications and SWTBot for Eclipse/SWT based applications",DOM/JS,DOM/JS,yes
Role,Language,The language for expressing tests,"Java, Groovy",Instrumentation within HTML (for test case); and Java (for test implementation),Gherkin (plain text),Pluggable plain-text StoryParser.  Default implementation is regex-based. ,"table DSL, with some plain text",Yes,Yes,"Plain text with fixture in Java, .Net and Ruby","GUIdancer tests are written using pre-existing modules of test functionality.Test modules can be renamed so that tests can be read in natural language",Ruby,,Yes, Java,All of them,,Java or any JVM-based language,"Java, (.Net in future)",Java and Groovy,.Net languages,Ruby,.net language
Database,Load data,Test data can be loaded from a database,Possible,Within the Java fixture code you can do anything you like,Several options. Before hooks. Background,"Various @Before* and @After* annotated methods can be called.  Inside those methods, any java framework for data loading can be invoked - DbUnit is commonly used.",Yes,,,No,Yes,Use Ruby Programming,,,Yes,Yes. Tests are in a programming language.,Yes,N/A,n/a,Possible using Java libraries,,,yes
Database,Clean data,What does this mean? (Rick),Possible,,Use DatabaseCleaner (Rails),DbUnit - as above,,Possible,,,Not directly,Use Ruby Programming,,,Yes,Yes. Tests are in a programming language.,Yes,N/A,n/a,Possible using Java libraries,,,
Implementation,Native Language,,XML,"Java, .NET, Ruby, Python","Ruby, Java, Scala, Groovy, Javascript, Clojure, Ioke, .NET","Java or any other language that you can access via Java API, e.g. groovy, jruby, jython, rhino.","Java JVM, .net, Python, Smalltalk, JavaScript. Reference implementation in Java.",Java,,"Java, .NET, Ruby",Java,Ruby,,Python,Java + Javascript,All of them,C#,Java,Java,Java or Groovy,C#,Ruby,C#
Implementation,Java Accessible,Ability to invoke Java methods in target code base,yes,Yes,Yes - http://wiki.github.com/aslakhellesoy/cuke4duke,Yes,Yes,Java,,Yes,Yes,Possible via JRuby,,Jython,Yes,Yes,No,Yes,Yes,Yes,No,,No/NA
Implementation,.Net Accessible,Ability to invoke .NET methods in target code base,?,Yes,Yes - http://wiki.github.com/richardlawrence/Cuke4Nuke,Requires Java/.NET interop,Yes,Yes,,Yes,No,No,,IronPython,No,Yes,Yes,No,In Future,No,Yes,,Yes
Interface,API/WebUI/DesktopGUI,Access to API and/or GUI or Web UI,WebUI,"Yes, from fixture code",,"Yes, Selenium-based Steps already exist.","Through API of language. Java fixtures/drivers for Swing, web/ajax (SpiderFixture)",API,,API,"Java Swing, SWT/RCP, WebUI, GEF","WebUI/API, DeskopGUI with AutoIT3",,Pluggable,"API, WebUI",API/WebUI,WebUI,API,Yes (custom connectors),Pluggable,API,,"Win32, WPF, WinForm, Silverlight (in IE) and SWT"
Interface,Other drivers/fixtures,Other interfaces for driving SUTs,,,,,"shell, email, PDFs, XML, web services, mocking web services, templating",,,,,,,,,,,,,"Use any java driver, Version 2.1 onwards comes bundled with Sahi, Selenium,  Frankenstein, SwtBot ",,,
Issues,,,,,,,,,,,,,,,,,Doesn't work when Fitnesse run as a service,,,"Currently, does not support any windows thick client applications. Currently support only Eclipse as an IDE",,,
Language,Data-driven,,Yes,Yes,,,Yes,Yes,,Yes,Yes,No,,Yes,Yes,Tests are code.,Fitnesse,Depends on test runner,n/a,Yes,Depends on test runner,Roo,
Language,Keyword-Driven,,Yes,No,Yes,Yes - i18n'd keywords,Yes,Yes,,Yes,Yes,Yes,,Yes,No,Yes (Selenium IDE),Fitnesse,No,n/a,It supports DSL so use any keywords you like,No,Roo,
Language,Programming Language is used to write tests,,,No,,"Test is plain text, Execution framework is Java",,,,No,No,,,,,Yes,,,,Java and Groovy,Yes,Yes,
Language,Fluent/Literate,,?,Plain language,Yes,,Not in a programming language sense,Possible,,Yes,n/a,Yes,,Yes,Yes,Tests are code.,Fitnesse,Yes,n/a,Yes,Yes,,
Language,Tabular,,No,"Supported, but not required",Yes,Tabular input and output supported in different ways.  ,"Usually, but also has plain-text form",Yes,,Yes,No,No,,Yes,No,Yes (Selenium IDE),Fitnesse,No,n/a,Supported,,,
Language,Multiple levels of Abstraction - available,,Yes,Yes,,,"Yes. Procedural abstraction with defined actions with parameters, OO abstraction with classes (to organise defined actions and to make distinctions between different cases), business rule abstractions with multi-defined actions",Possible,,Yes,"Yes - abstraction from data and actual componentsin the application. ",Yes,,Yes,Yes,Tests are code in a programming language.,Fitnesse,Yes,n/a,"Yes, through Extract Concepts",Yes (Page and Control model),,
Language,Multiple levels of Abstraction - in same test,?Not sure what this means? (Rick),Yes,,Singhal,,Yes,Possible,,Yes,Yes,Yes,,Yes,Yes,Tests are code in a programming language.,Fitnesse,Yes,n/a,"Yes, through Extract Concepts",Yes,,
Language,variables as arguments of keywords,Does this also mean that abstractions for keywords can have parameters? (Rick),Yes,Variables as arguments of fixture methods,Scenario Outline,Variables are matched with text in story.  Default implementation is regex-based,Yes,No,,No,Yes,Yes,,Yes,Yes,Tests are code in a programming language.,Fitnesse,Yes,n/a,Twist Tests supports parameters,,,
Language,variables can hold values returned by sut,,Yes,Yes,"Yes, in Step Definitions","Yes, in Steps class",Yes,No,,No,Yes,Yes,,Yes,Yes,Same as above,Fitnesse,Yes,n/a,No (Can be done in underlying Java code and a context object),.Net,,
Language,Free-form commentary interspersed with tests,In line comments just like code comments are entered with //,comments,Yes,Yes - use # for comments,Yes - use !-- for comments,"Yes, any HTML",Yes,,Yes ,Comments can be written for each test case,Yes,,Yes,Yes,As above,Fitnesse,Java or any JVM-based language,n/a,"Yes, definitely",.Net,,
Misc,Maturity,How mature is the tool?,Very mature,Mature (since 2006),Mature,Mature,mature,,,mature.  commercial offering since 2005 with support,mature,Mature,,Stable releases since 2008,,mature,,"Swing: mature, JavaFX: development just started",beta,mature,,,
Misc,OpenSource,Is there a free version with source code?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All runners are opensource,No,test framework is free and open source. IDE itself is not.,Yes,Yes,,Yes,Yes,Yes,No,No,Yes,Yes,
Misc,Commercial,Is there a paid version?,No,No,,No,No,,,Pay for Server and technical support,Yes,Yes,No,No,,,No,No,Yes,Yes,No,,
Misc,Use tool to test itself,,Yes,Yes,Yes,Yes,"Yes, extensively",Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,No,Yes,Yes,,
Misc,One-button Install,,Yes,No,gem install cucumber,jar file(s) / maven,"No, not when used with FitNesse",Yes,,No,Yes,Yes,,Yes,,Not yet. :-),,Yes,No,Yes,Yes,,
Misc,Mixed Auto/Manual Install,,No,N/A,,,"Yes, by running part of a storytest, but this is a little  inconvenient",N/A,,N/A,,Possible,,Yes,No,Yes,,N/A,"Ant task & Maven plugin, Bamboo Plugin","Installation process automated, can be also installed as an Eclipse Plugin",Depends on the test runner,,
Misc,Mixed Auto/Manual,What does this mean? (Rick),No,N/A,,,?? don't understand the point of this row,N/A,,N/A,,Possible,,Yes,,Yes,,"Yes, depending on test runner",,"Twist support, Automated, Manual and Hybrid Test exection",Depends on the test runner,,
Misc,Setup/Teardown of Context,,Possible,"Yes, within Java fixture code",Before and After hooks,@Before* and @After* hooks (multiple levels),Yes,Yes,,Yes,"Setup needs to be specified once as reusablemodule. Teardown can either be specified or the application can be restarted.",Yes,,Yes,Needs to be coded,Tests are code in a programming language.,,"Yes, depending on test runner",,Yes,Depends on the test runner,,
Misc,Use tool to test itself - exceptions,,?,Yes,??,Yes,Yes,,,Yes,,,,,,Yes,Not the editor,Yes,No,Yes,Yes,,
Process,Acceptance Test Driven development,,Possible,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Tests are code in a programming language.,Fitnesse,Yes,Yes (create your own categories),Yes,Yes,,
Process,Encourages communication,,Not so much,Yes,Indeed,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,In what way? To whom?,Fitnesse,Yes,Yes,Yes,Yes,,
Reporting,Tagging/Categories,,,Automatic generation of breadcrumbs based on naming conventions,Yes @foo @bar,No - planned for 3.1,Yes,Yes,,Yes,Yes,,,Multiple,No,Tests are code in a programming language.,Fitnesse,"Yes, depending on test runner",n/a,Multiple,Depends on test runner,,
Reporting,Summary,,Yes,Yes,Yes,Yes - customizable,Yes,Yes,,Yes,Yes,Yes,,1-page,,Tests are code in a programming language.,Fitnesse,"Yes, depending on test runner",Yes,Yes,Depends on test runner,,
Reporting,Clickthrough to failures,,Yes,No,No,When run in IDE via JUnit / TestNG,Yes,Yes,,Yes,Yes,Possible,,Yes,,Tests are code in a programming language.,Fitnesse,"Yes, depending on test runner",No,Yes,Depends on test runner,,
Reporting,See screen captures,,Yes,Through user-contributed plugin,Possible - see watir example,Possible - example exists,"Yes, with SpiderFixture with Firefox",N/A,,No,Yes,Possible,,"Depends on Driver (""Tool"")",,Yes,Yes,"Yes, screenshots for test failures",No,Yes. Captures screenshots on failures,Screencapture functionality available,,
Reporting,Aggregate test results,,Yes,As per JUnit,Yes,Yes - customizable,Yes,,,Yes,Yes,Yes,,Yes,,Yes. Tests are code in a programming language.,,"Yes, depending on test runner",Yes,Yes,Depends on test runner,,
Reporting,Side-by-side,What does this mean? Seems very specific - is it a useful distinction? (Rick),?,N/A,?,?,? Don't understand this row,,,?,?,No,,No,,Yes. Tests are code in a programming language.,,"Yes, depending on test runner",?,Yes,Depends on test runner,,
Repository,Builtin,,No,No,?,Anything - implementation of StoryLoader,Various repositories are used,Wiki,,?,No,No,,,No,Why?,Fitnesse,No,n/a,"No, just add subclipse and you are done",No,,
Repository,SCM-Friendly,,Yes,Yes,Yes,yes,Yes,Somewhat,,Yes,Yes,Yes,,Yes,Yes,How could it not be?,,Yes,n/a,Yes,"Yes, plain text",,
Repository,Storage format,,xml,HTML,Plain text + code (several languages),Plain text + code (Java),"FitNesse pages, html, xls",Wiki,,"Wiki page, html",database/xml,Ruby,,"Txt, html, tsv, rest",Java,Anything you want,,,n/a,Text based wiki files,,,
Test Editor,Record Tests,,No,No,No,"With Selenium, for Selenium-based Steps",No,No,,No,Yes,Yes,,No,In next release,Yes (Selenium IDE),Yes,No,n/a,Yes provided the driver supports recording,Depends on test runner,,
Test Editor,Refactor,,No,No,No,No,No,Minimal (Rename/move),,No,Yes,"Yes, with dedicated functional test refactorings",,Yes with Robot IDE,Java IDE,Use an IDE like Eclipse,Planned,Java IDE,n/a,Yes,.Net IDE,,
Test Editor,Refactor,Updating tests automatically (from results? (Rick)),No,No,No,No,? Don't understand this row,No,,No,No,Yes,,No,No,Use an IDE like Eclipse,Planned,Java IDE,n/a,Yes,.Net IDE,,
Test Editor,Builtin keyword help,,No,No,--lang help,?,No,No,,No,Yes,Yes,,Yes,Yes,Use an IDE like Eclipse,Planned,Java IDE,n/a,Automatically evolves as you write scenarios and leverages on IDE capability to provide the support. ,Yes,,
Test Editor,Keyword Completion,,No,No,In RubyMine,No,No,No,,No,Yes,Yes,,Yes,Yes,Use an IDE like Eclipse,Yes,Java IDE,n/a,Quick assist and auto complete for DSL,.Net IDE,,
Test Editor,Argument Completion,,No,No,In RubyMine,No,No,No,,No,Yes,Very Basic,,,No,Use an IDE like Eclipse,Yes,Java IDE,n/a,Coming up in 3.0,.Net IDE,,
Test Editor,Grammar-checker,Indicate when keywords mispelled or wrong args,xml editor ,No,,Abillity to do dry-run,No,No,,No,Yes,Somewhat,,,Yes,Use an IDE like Eclipse,Fitnesse,Java IDE,n/a,"Argument validation, and general syntax validation is possible",.Net IDE,,
Test Editor,Quick-Fix,,No,No,,No,No,No,,n/a,Yes,No,,,Yes,Use an IDE like Eclipse,Fitnesse,Java IDE,n/a,Yes,.Net IDE,,
Test Editor,Run test from editor,,No,"Yes, from JUnit which is built into most Java IDEs",Yes,Depends on editor,"Yes, with FitNesse",Yes,,Yes,Yes,Yes,,"Plug-in (private, possibly open-sourced)",Yes,Use an IDE like Eclipse,Fitnesse,Java IDE,n/a,Yes,Yes,SciTE,
Test Editor,Interactive execution,,No,No,No,When run in IDE via JUnit/TestNG,No,No,,No,Yes,Yes,,,No,"Yes, Selenium IDE. For RC, use an IDE like Eclipse",Fitnesse,No,n/a,Yes,Yes (run tests in debug mode in .Net IDE),IRB,
Test Runner,Command line,,Yes,"Yes, as per JUnit",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,Fitnesse,Yes,n/a,Yes,Yes,Yes,
Test Runner,GUI/Browser,Can run with a GUI or browser,No,No,"Yes - Watir, WebDriver, Celerity compatible",Yes - whatever you want to add to Steps class - Selenium/WebDriver classes exist,Yes,Browser,,Yes,Yes,Yes,,Yes,Yes,"Yes, Selenium IDE",Browser,No,n/a,"Yes, Eclipse IDE",Yes,,
Test Runner,Run one test or many,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,One test can be run per command line client at a time,Yes,,Yes,Depends on implementaton,Use an IDE like Eclipse,Fitnesse,"Yes, depending on test runner",n/a,Yes,"Yes, but depends on how the tests are setup",,
Test Runner,Run subsets of tests based on Tagging/Categories,,Possible?,Possibly,Yes --tags @foo,No - planned for 3.1,Yes,Yes,,Yes,No,"Yes, called 'Test Suite'",,Multiple,No,Use an IDE like Eclipse,Fitnesse,"Yes, depending on test runner",n/a,Multiple,Depends on test runner,,
Test Runner,Run same tests via different interfaces,e.g. GUI vs Browser,Yes,No,Yes,Ant/Maven/IDE,Yes,,,Yes,Yes,Yes,,Yes,No,Use an IDE like Eclipse,,No,n/a,Possible,Yes,,
Test Runner,Run same tests against different configurations,e.g. Different browsers; with/without DB,Yes,No,Yes --profile,Createable - not part of framework,Yes,,,Yes,Yes,Yes,,Yes,Yes,Use an IDE like Eclipse,,"Yes, support for different Operating Systems",n/a,Yes,"Yes (IE, FireFox)",,
